TASK_ID,DESCRIPTION,street_name,address,entity
21032998680001,肥西县花岗镇童岗村民反映，2013年该村拆迁，至今拆迁补偿款未发放，村内称已发放，但自己并未收到，对此不满，要求核实处理。,肥西县,肥西县花岗镇童岗,童岗
21032998300001,反映包河区淝河路与铜陵路交口的工地在施工，噪音扰民，望相关部门核实处理。,包河区,包河区淝河路与铜陵路交口,
21032998390001,反映肥西县严店乡，有人正在此处非法倾倒渣土，对此不满，要求处理。,肥西县,肥西县严店乡,
21032998970001,反映庐阳区五河路双岗菜市场路段，长期夜间禁噪时间段施工，噪音扰民严重，要求投诉。,庐阳区,庐阳区五河路双岗菜市场,双岗菜市场
21032998390002,反映3月28日23：00前往逍遥津派出所询问家人的情况，有工作人员让其滚出去，对此不满，要求投诉。,瑶海区,逍遥津派出所,逍遥津派出所
21032998340001,包河区紫云路文一名门湖语业主反映，小区北侧的紫云路上的地铁7号线正在进行施工，噪音扰民，要求处理。,包河区,包河区紫云路文一名门湖语,文一名
21032998970002,反映瑶海区临泉路信地步行街5栋，拉斯维加斯会所内存在有偿陪侍行为，望给予查处。,瑶海区,瑶海区临泉路信地步行街5栋,信地步行街:拉斯维加斯会所
21032998530001,反映庐阳区长江中路团结新村小区旁的市政管道正在改造，噪音扰民，要求处理。,庐阳区,庐阳区长江中路团结新村小区,团结新村小区
21032998340002,肥西县花岗镇童岗村民反映，2013年该村拆迁，至今拆迁补偿款未发放，对此不满，要求核实处理。,肥西县,肥西县花岗镇童岗,童岗
21032998300002,反映瑶海区临泉路12号凯越商务酒店门口道路施工，噪音扰民，望相关部门核实处理。,瑶海区,瑶海区临泉路12号凯越商务酒店门口,凯越商务酒店
21032998680002,来电人反映3月28日23:55前往逍遥津派出所询问家里人在此处理问题的情况，工作人员直接让其滚出去，对此不认可，要求投诉。,合肥市,逍遥津派出所,逍遥津派出所
21032998970003,反映瑶海区临泉路安徽大市场附近，临泉路正在道路施工，噪音扰民，要求处理。,瑶海区,瑶海区临泉路安徽大市场,安徽大市场
21032998390003,反映蜀山区金寨路与太湖路交叉口，有施工单位在进行渣土外运，现场噪音扰民，望处理。,蜀山区,蜀山区金寨路与太湖路交叉口,
21032998340003,反映经开区百鸟路合工大北门地下广场工地正在施工，噪音扰民，要求处理。,经开区,经开区百鸟路合工大北门地下广场工地,
21032998530002,反映瑶海区临泉路安徽大市场旁道路施工，噪音扰民，要求处理。,瑶海区,瑶海区临泉路安徽大市场旁,安徽大市场
21032998970004,反映经开区引针路与莲蕊路在进行道路施工，噪音扰民，且经开区城管局批准渣土拉运，认为不合理，要求投诉经开区城管局。,经开区,经开区引针路与莲蕊路,
21032998340004,反映包河区紫云路与华山路交口“安徽盐业”与“国药控股”写字楼墙体上安装的LED屏幕，每天夜间的屏幕的灯光非常亮，严重影响附近居民休息，要求夜间关闭LED屏幕。,包河区,包河区紫云路与华山路交口“安徽盐业”与“国药控股”,安徽盐业:国药控股
21032998300003,反映瑶海区胜利北路星辉一号ktv娱乐会所，该娱乐会所一直偷偷营业，内部有涉黄现象，会所门口均有人员在放风，望相关部门核实处理。,瑶海区,瑶海区胜利北路星辉一号ktv娱乐会所,星辉一号ktv娱乐会所
21032998680003,来电反映南二环（石台路至东至路）施工单位在进行“畅通南二环工程”施工，噪音扰民，望处理。,蜀山区,南二环（石台路至东至路）,
21032998340005,反映庐阳区北二环与嘉山路交口“畅通二环”工地夜间施工，噪音扰民，要求处理。,庐阳区,庐阳区北二环与嘉山路交口“畅通二环”,畅通二环
21032998530003,反映经开区繁华大道与枫林路交口人行通道正在修建，噪音扰民，要求处理。,经开区,经开区繁华大道与枫林路交口,
21032998970005,反映肥西县严店乡刘河社区引江济淮标段，水安公司正在此路段非法倾倒渣土，对此不满，要求处理。,肥西县,肥西县严店乡刘河社区引江济淮标段,
21032998390004,反映瑶海区临泉路12号，有施工单位在进行钻地施工，噪音扰民，望处理,瑶海区,瑶海区临泉路12号,
21032998340006,反映庐阳区清源路与龙灯路交口有施工单位正在施工，噪音扰民，要求处理。,庐阳区,庐阳区清源路与龙灯路交口,
21032998300004,反映蜀山区东至路与贵池路交口在进行地铁施工，噪音扰民，望相关部门核实处理。,蜀山区,蜀山区东至路与贵池路交口,
